CG beads number:   49,  the thread number:   16
thread:  13,  CNa = 1000.000000,  CMg = 0.000000, t0 = 120.000000
thread: 6,  step: 10000,     T: 63.0,    Energy: 138.477936 kcal/mol
thread: 2,  step:  8000,     T: 37.0,    Energy: 127.978554 kcal/mol
thread: 14,  step:  9000,     T:130.0,    Energy: 140.511734 kcal/mol
thread: 1,  step:  9000,     T: 31.0,    Energy: 146.695694 kcal/mol
thread: 10,  step:  8000,     T: 94.0,    Energy: 122.942497 kcal/mol
thread: 13,  step:  8000,     T:120.0,    Energy: 149.944016 kcal/mol
thread: 9,  step: 10000,     T: 86.0,    Energy: 147.357422 kcal/mol
thread: 4,  step:  8000,     T: 49.0,    Energy: 129.156372 kcal/mol
thread: 8,  step:  8000,     T: 78.0,    Energy: 161.221024 kcal/mol
thread: 5,  step:  9000,     T: 55.0,    Energy: 131.001282 kcal/mol
thread: 12,  step:  8000,     T:110.0,    Energy: 136.673264 kcal/mol
thread: 3,  step:  9000,     T: 43.0,    Energy: 145.478333 kcal/mol
thread: 0,  step:  9000,     T: 25.0,    Energy: 138.183350 kcal/mol
thread: 6,  step: 11000,     T: 63.0,    Energy: 152.912933 kcal/mol
thread: 11,  step:  9000,     T:102.0,    Energy: 140.443817 kcal/mol
thread: 7,  step: 10000,     T: 71.0,    Energy: 131.097122 kcal/mol
thread: 5,  step: 10000,     T: 55.0,    Energy: 361.087799 kcal/mol
thread: 15,  step: 10000,     T:  0.0,    Energy: 135.136276 kcal/mol
thread: 2,  step:  9000,     T: 37.0,    Energy: 131.308868 kcal/mol
thread: 14,  step: 10000,     T:130.0,    Energy: 127.550529 kcal/mol
thread: 1,  step: 10000,     T: 31.0,    Energy: 128.104141 kcal/mol
thread: 10,  step:  9000,     T: 94.0,    Energy: 157.488846 kcal/mol
thread: 13,  step:  9000,     T:120.0,    Energy: 136.280167 kcal/mol
thread: 3,  step: 10000,     T: 43.0,    Energy: 120.257591 kcal/mol
